File Name,Geology (tag),Region (tag),Place (tags),Theme (tag),Title (SB item name),Summary,Publication date,Acquisition Date,Rights,Origin,Point of contact,Metadata contact,Publisher,Distributor,Onlink,NorthBC,SouthBC,WestBC,EastBC
ES01.jpg,sedimentary rocks,Eastern Grand Canyon,"Grand Canyon, Arizona, United States of America",geoscientific information,Aerial view north toward Ferry Swale Canyon,"Aerial view north toward Ferry Swale Canyon, an abandoned Colorado River canyon about 3 to 4 miles southwest of Glen Canyon Dam, west of river mile 11.5.",2017,1970-12-17,"Public domain. Credit: George Billingsley, U.S. Geological Survey",George Billingsley,George Billingsley,Sarah Nagorsen,U.S. Geological Survey data release,U.S. Geological Survey - ScienceBase,DOI URL for data release (tbd),36.88418785,36.88418785,-111.5355736,-111.5355736
ES02.jpg,sedimentary rocks,Eastern Grand Canyon,"Grand Canyon, Arizona, United States of America",geoscientific information,View southwest and downriver toward modern climbing sand dune on Navajo Sandstone cliffs,"View southwest and downriver toward modern climbing sand dune on Navajo Sandstone cliffs, northeast side of Echo Cliffs, 3 miles upriver from Lees Ferry in Glen Canyon, river mile 3.0.",2017,1971-06-20,"Public domain. Credit: George Billingsley, U.S. Geological Survey",George Billingsley,George Billingsley,Sarah Nagorsen,U.S. Geological Survey data release,U.S. Geological Survey - ScienceBase,DOI URL for data release (tbd),36.84309087,36.84309087,-111.5530943,-111.5530943
ES03.jpg,sedimentary rocks,Eastern Grand Canyon,"Grand Canyon, Arizona, United States of America",geoscientific information,View southeast toward modern climbing dune on Navajo Sandstone and landslide material on northeast side of Echo Cliffs from Colorado River,"View southeast toward modern climbing dune on Navajo Sandstone and landslide material on northeast side of Echo Cliffs from Colorado River, 1.7 miles upriver of Lees Ferry, river mile 1.7.",2017,1971-06-20,"Public domain. Credit: George Billingsley, U.S. Geological Survey",George Billingsley,George Billingsley,Sarah Nagorsen,U.S. Geological Survey data release,U.S. Geological Survey - ScienceBase,DOI URL for data release (tbd),36.84819975,36.84819975,-111.5748011,-111.5748011
ES04.jpg,sedimentary rocks,Eastern Grand Canyon,"Grand Canyon, Arizona, United States of America",geoscientific information,Aerial view west toward Lees Ferry,"Aerial view west toward Lees Ferry, Arizona, northwest bank, mouth of Paria River just downstream of river mile 0.0. Marker is on Shinarump Conglomerate Member of Chinle Formation.",2017,1977-08-01,"Public domain. Credit: George Billingsley, U.S. Geological Survey",George Billingsley,George Billingsley,Sarah Nagorsen,U.S. Geological Survey data release,U.S. Geological Survey - ScienceBase,DOI URL for data release (tbd),36.86702296,36.86702296,-111.5886365,-111.5886365
ES05.jpg,sedimentary rocks,Eastern Grand Canyon,"Grand Canyon, Arizona, United States of America",geoscientific information,View east and upriver from Lees Ferry toward Triassic and Jurassic rocks of the Echo Cliffs,View east and upriver from Lees Ferry toward Triassic and Jurassic rocks of the Echo Cliffs.,2017,1968-09-02,"Public domain. Credit: George Billingsley, U.S. Geological Survey",George Billingsley,George Billingsley,Sarah Nagorsen,U.S. Geological Survey data release,U.S. Geological Survey - ScienceBase,DOI URL for data release (tbd),36.86574493,36.86574493,-111.5864882,-111.5864882
ES06.jpg,sedimentary rocks,Eastern Grand Canyon,"Grand Canyon, Arizona, United States of America",geoscientific information,View south toward Moenkopi Formation on east side of Paria River delta from Shinarump Conglomerate cliff,"View south toward Moenkopi Formation on east side of Paria River delta from Shinarump Conglomerate cliff, west side of Lees Ferry, river mile 0.5.",2017,1968-09-02,"Public domain. Credit: George Billingsley, U.S. Geological Survey",George Billingsley,George Billingsley,Sarah Nagorsen,U.S. Geological Survey data release,U.S. Geological Survey - ScienceBase,DOI URL for data release (tbd),36.86251786,36.86251786,-111.593581,-111.593581
ES07.jpg,sedimentary rocks,Eastern Grand Canyon,"Grand Canyon, Arizona, United States of America",geoscientific information,View east and upriver from Paria River delta toward Lees Ferry and Shinarump Conglomerate Member of Chinle Formation at marker,"View east and upriver from Paria River delta toward Lees Ferry and Shinarump Conglomerate Member of Chinle Formation at marker, river mile 0.0.",2017,1979-10-07,"Public domain. Credit: George Billingsley, U.S. Geological Survey",George Billingsley,George Billingsley,Sarah Nagorsen,U.S. Geological Survey data release,U.S. Geological Survey - ScienceBase,DOI URL for data release (tbd),36.86708284,36.86708284,-111.5900761,-111.5900761
ES08.jpg,sedimentary rocks,Eastern Grand Canyon,"Grand Canyon, Arizona, United States of America",geoscientific information,Aerial view northwest toward Triassic and Jurassic rocks and young sand dunes of Paria River canyon,"Aerial view northwest toward Triassic and Jurassic rocks and young sand dunes of Paria River canyon, west of Lees Ferry, Arizona. Marker is on Shinarump Member of Chinle Formation southwest of Lees Ferry.",2017,1970-12-17,"Public domain. Credit: George Billingsley, U.S. Geological Survey",George Billingsley,George Billingsley,Sarah Nagorsen,U.S. Geological Survey data release,U.S. Geological Survey - ScienceBase,DOI URL for data release (tbd),36.86828038,36.86828038,-111.604963,-111.604963
ES09.jpg,sedimentary rocks,Eastern Grand Canyon,"Grand Canyon, Arizona, United States of America",geoscientific information,View northwest toward climbing sand dunes on south side of Paria River,"View northwest toward climbing sand dunes on south side of Paria River, lower Paria River canyon.",2017,1968-12-01,"Public domain. Credit: George Billingsley, U.S. Geological Survey",George Billingsley,George Billingsley,Sarah Nagorsen,U.S. Geological Survey data release,U.S. Geological Survey - ScienceBase,DOI URL for data release (tbd),36.90715509,36.90715509,-111.6352685,-111.6352685
ES10.jpg,sedimentary rocks,Eastern Grand Canyon,"Grand Canyon, Arizona, United States of America",geoscientific information,Aerial view south toward Kaibab Formation (white) that forms beginning walls of Marble Canyon below Lees Ferry,"Aerial view south toward Kaibab Formation (white) that forms beginning walls of Marble Canyon below Lees Ferry, river mile 01.8.",2017,1977-08-01,"Public domain. Credit: George Billingsley, U.S. Geological Survey",George Billingsley,George Billingsley,Sarah Nagorsen,U.S. Geological Survey data release,U.S. Geological Survey - ScienceBase,DOI URL for data release (tbd),36.8480071,36.8480071,-111.6114823,-111.6114823
